schema_id	runtime_domain	runtime_artifact_name	target_path	source_artifacts	required_approval_status	required_validator_status	requires_waiver_clearance	export_allowed_now	schema_status	field_name	field_type	required	default_value	source_field	transform_rule	validation_rule	notes
schema_enemy_deck_runtime	enemy_deck	enemy_decks.json	data/runtime/content_engine/enemy_decks.json	generated_enemy_deck_sets,generated_card_pool,generated_enemy_deck_skeleton	approved	PASS	true	false	blocked_by_waiver	deck_id	string	true		deck_id	copy	non_empty,unique	Long-form deck rows must be grouped by deck_id; runtime export remains blocked until WARN waiver clears.
schema_enemy_deck_runtime	enemy_deck	enemy_decks.json	data/runtime/content_engine/enemy_decks.json	generated_enemy_deck_sets,generated_card_pool,generated_enemy_deck_skeleton	approved	PASS	true	false	blocked_by_waiver	archetype_id	string	true		archetype_id	copy	non_empty	Long-form deck rows must be grouped by deck_id; runtime export remains blocked until WARN waiver clears.
schema_enemy_deck_runtime	enemy_deck	enemy_decks.json	data/runtime/content_engine/enemy_decks.json	generated_enemy_deck_sets,generated_card_pool,generated_enemy_deck_skeleton	approved	PASS	true	false	blocked_by_waiver	cards	array<object>	true	[]	card_id,slot_role,card_slot_index	group_by_deck_id	exists_in_card_pool	Long-form deck rows must be grouped by deck_id; runtime export remains blocked until WARN waiver clears.
schema_enemy_deck_runtime	enemy_deck	enemy_decks.json	data/runtime/content_engine/enemy_decks.json	generated_enemy_deck_sets,generated_card_pool,generated_enemy_deck_skeleton	approved	PASS	true	false	blocked_by_waiver	ai_behavior_hint	string	false		deck_variant_role	key_reference_only	non_empty	Long-form deck rows must be grouped by deck_id; runtime export remains blocked until WARN waiver clears.
schema_enemy_deck_runtime	enemy_deck	enemy_decks.json	data/runtime/content_engine/enemy_decks.json	generated_enemy_deck_sets,generated_card_pool,generated_enemy_deck_skeleton	approved	PASS	true	false	blocked_by_waiver	tags	array<string>	false	[]	required_card_tags,forbidden_card_tags	split_csv_tags	non_empty	Long-form deck rows must be grouped by deck_id; runtime export remains blocked until WARN waiver clears.
schema_card_pool_runtime	card_pool	card_pool.json	data/runtime/content_engine/card_pool.json	generated_card_pool	approved	PASS	false	false	blocked_by_approval	card_id	string	true		card_id	copy	non_empty,unique	design_only card rows are not runtime-ready until explicit runtime card mapping exists.
schema_card_pool_runtime	card_pool	card_pool.json	data/runtime/content_engine/card_pool.json	generated_card_pool	approved	PASS	false	false	blocked_by_approval	card_class	string	true		card_class	copy	non_empty	design_only card rows are not runtime-ready until explicit runtime card mapping exists.
schema_card_pool_runtime	card_pool	card_pool.json	data/runtime/content_engine/card_pool.json	generated_card_pool	approved	PASS	false	false	blocked_by_approval	weapon_style	string	true		weapon_style	copy	non_empty	design_only card rows are not runtime-ready until explicit runtime card mapping exists.
schema_card_pool_runtime	card_pool	card_pool.json	data/runtime/content_engine/card_pool.json	generated_card_pool	approved	PASS	false	false	blocked_by_approval	tactic_role	string	false		tactic_role	copy	non_empty	design_only card rows are not runtime-ready until explicit runtime card mapping exists.
schema_card_pool_runtime	card_pool	card_pool.json	data/runtime/content_engine/card_pool.json	generated_card_pool	approved	PASS	false	false	blocked_by_approval	implementation_status	string	true	design_only	implementation_status	copy	pass_validator_required	design_only card rows are not runtime-ready until explicit runtime card mapping exists.
schema_battle_reward_runtime	battle_reward	battle_rewards.json	data/runtime/content_engine/battle_rewards.json	generated_battle_reward_plan	approved	PASS	false	false	blocked_by_approval	reward_plan_id	string	true		reward_plan_id	copy	non_empty,unique	Reward profile fields remain design-layer until runtime reward schema is implemented.
schema_battle_reward_runtime	battle_reward	battle_rewards.json	data/runtime/content_engine/battle_rewards.json	generated_battle_reward_plan	approved	PASS	false	false	blocked_by_approval	battle_slot_id	string	true		battle_slot_id	copy	non_empty	Reward profile fields remain design-layer until runtime reward schema is implemented.
schema_battle_reward_runtime	battle_reward	battle_rewards.json	data/runtime/content_engine/battle_rewards.json	generated_battle_reward_plan	approved	PASS	false	false	blocked_by_approval	deck_id	string	false		deck_id	copy	non_empty	Reward profile fields remain design-layer until runtime reward schema is implemented.
schema_battle_reward_runtime	battle_reward	battle_rewards.json	data/runtime/content_engine/battle_rewards.json	generated_battle_reward_plan	approved	PASS	false	false	blocked_by_approval	martial_xp_reward	int	true	0	martial_xp_reward	parse_int	pass_validator_required	Reward profile fields remain design-layer until runtime reward schema is implemented.
schema_battle_reward_runtime	battle_reward	battle_rewards.json	data/runtime/content_engine/battle_rewards.json	generated_battle_reward_plan	approved	PASS	false	false	blocked_by_approval	route_triggers	array<string>	false	[]	can_trigger_true_ending,can_trigger_wuzhuangyuan	split_csv_tags	non_empty	Reward profile fields remain design-layer until runtime reward schema is implemented.
schema_operation_node_runtime	operation_node	operation_nodes.json	data/runtime/content_engine/operation_nodes.json	generated_operation_node_plan	approved	PASS	false	false	blocked_by_approval	operation_node_id	string	true		operation_node_id	copy	non_empty,unique	Operation nodes require runtime mapping for cost/reward executors before export is possible.
schema_operation_node_runtime	operation_node	operation_nodes.json	data/runtime/content_engine/operation_nodes.json	generated_operation_node_plan	approved	PASS	false	false	blocked_by_approval	stage	string	true		stage	copy	non_empty	Operation nodes require runtime mapping for cost/reward executors before export is possible.
schema_operation_node_runtime	operation_node	operation_nodes.json	data/runtime/content_engine/operation_nodes.json	generated_operation_node_plan	approved	PASS	false	false	blocked_by_approval	node_type	string	true		node_type	copy	non_empty	Operation nodes require runtime mapping for cost/reward executors before export is possible.
schema_operation_node_runtime	operation_node	operation_nodes.json	data/runtime/content_engine/operation_nodes.json	generated_operation_node_plan	approved	PASS	false	false	blocked_by_approval	costs	object	false	{}	cost_profile	key_reference_only	non_empty	Operation nodes require runtime mapping for cost/reward executors before export is possible.
schema_operation_node_runtime	operation_node	operation_nodes.json	data/runtime/content_engine/operation_nodes.json	generated_operation_node_plan	approved	PASS	false	false	blocked_by_approval	route_gate_tags	array<string>	false	[]	route_gate_tags	split_csv_tags	non_empty	Operation nodes require runtime mapping for cost/reward executors before export is possible.
schema_narrative_node_runtime	narrative_node	narrative_nodes.json	data/runtime/content_engine/narrative_nodes.json	generated_narrative_node_plan	approved	PASS	false	false	blocked_by_approval	narrative_node_id	string	true		narrative_node_id	copy	non_empty,unique	Narrative schema is skeleton only; no final prose body is available for runtime text delivery yet.
schema_narrative_node_runtime	narrative_node	narrative_nodes.json	data/runtime/content_engine/narrative_nodes.json	generated_narrative_node_plan	approved	PASS	false	false	blocked_by_approval	node_kind	string	true		node_kind	copy	non_empty	Narrative schema is skeleton only; no final prose body is available for runtime text delivery yet.
schema_narrative_node_runtime	narrative_node	narrative_nodes.json	data/runtime/content_engine/narrative_nodes.json	generated_narrative_node_plan	approved	PASS	false	false	blocked_by_approval	route_affinity	string	false		route_affinity	copy	non_empty	Narrative schema is skeleton only; no final prose body is available for runtime text delivery yet.
schema_narrative_node_runtime	narrative_node	narrative_nodes.json	data/runtime/content_engine/narrative_nodes.json	generated_narrative_node_plan	approved	PASS	false	false	blocked_by_approval	preview_key	string	true		preview_key	copy	non_empty	Narrative schema is skeleton only; no final prose body is available for runtime text delivery yet.
schema_narrative_node_runtime	narrative_node	narrative_nodes.json	data/runtime/content_engine/narrative_nodes.json	generated_narrative_node_plan	approved	PASS	false	false	blocked_by_approval	result_key	string	true		result_key	copy	non_empty	Narrative schema is skeleton only; no final prose body is available for runtime text delivery yet.
schema_route_gate_runtime	route_gate	route_gates.json	data/runtime/content_engine/route_gates.json	generated_route_gate_plan	approved	PASS	false	false	blocked_by_approval	route_gate_id	string	true		route_gate_id	copy	non_empty,unique	Route gate plan is design-layer only and does not equal Godot route runtime logic.
schema_route_gate_runtime	route_gate	route_gates.json	data/runtime/content_engine/route_gates.json	generated_route_gate_plan	approved	PASS	false	false	blocked_by_approval	route_id	string	true		route_id	copy	non_empty	Route gate plan is design-layer only and does not equal Godot route runtime logic.
schema_route_gate_runtime	route_gate	route_gates.json	data/runtime/content_engine/route_gates.json	generated_route_gate_plan	approved	PASS	false	false	blocked_by_approval	required_flags	array<string>	false	[]	required_flags	split_csv_tags	non_empty	Route gate plan is design-layer only and does not equal Godot route runtime logic.
schema_route_gate_runtime	route_gate	route_gates.json	data/runtime/content_engine/route_gates.json	generated_route_gate_plan	approved	PASS	false	false	blocked_by_approval	unlock_result	string	true		unlock_result	copy	non_empty	Route gate plan is design-layer only and does not equal Godot route runtime logic.
schema_route_gate_runtime	route_gate	route_gates.json	data/runtime/content_engine/route_gates.json	generated_route_gate_plan	approved	PASS	false	false	blocked_by_approval	is_player_choice	bool	false	false	is_player_choice	parse_bool	no_lightness_4_required	Route gate plan is design-layer only and does not equal Godot route runtime logic.
